,Unnamed: 0,Rkr,Player,Age,Pos,Date,Tmr,Unnamed: 8,Opp,Unnamed: 10,PTS,GSr,MPr,FG,FGA,FG%,2Pr,2PA,2P%,3Pr,3PA,3P%,FTr,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PFr,GmSc,BPM
260,260,151,Giannis Antetokounmpo,26-220,F-G,2021-07-14*,MIL,,PHO,W,26,1,43,11,19,.579,11,17,.647,0,2,.000,4,8,.500,5,9,14,8,3,2,1,3,29.5,14.9
261,261,152,Giannis Antetokounmpo,26-167,F-G,2021-05-22*,MIL,,MIA,W,26,1,45,10,27,.370,10,24,.417,0,3,.000,6,13,.462,6,12,18,5,3,0,5,4,16.0,1.6
262,262,153,Kevin Durant,32-238,F-G,2021-05-25*,BRK,,BOS,W,26,1,29,8,12,.667,6,10,.600,2,2,1.000,8,8,1.000,1,7,8,5,1,4,4,1,26.5,17.7
263,263,154,Paul George,31-051,F,2021-06-22*,LAC,@,PHO,L,26,1,41,10,23,.435,9,15,.600,1,8,.125,5,10,.500,0,6,6,6,0,0,3,2,14.1,-2.5
264,264,155,Kawhi Leonard,29-327,F,2021-05-22*,LAC,,DAL,L,26,1,41,9,22,.409,8,16,.500,1,6,.167,7,9,.778,2,8,10,5,4,0,0,2,23.9,7.8
265,265,156,Khris Middleton,29-323,F-G,2021-07-01*,MIL,,ATL,W,26,1,45,10,20,.500,8,14,.571,2,6,.333,4,5,.800,3,10,13,8,2,1,1,2,27.2,6.7
266,266,157,Ja Morant,21-286,G,2021-05-23*,MEM,@,UTA,W,26,1,36,11,21,.524,11,20,.550,0,1,.000,4,4,1.000,1,3,4,4,1,0,1,2,19.3,5.2
267,267,158,Marcus Morris,31-301,F,2021-06-30*,LAC,,PHO,L,26,1,42,9,17,.529,5,6,.833,4,11,.364,4,6,.667,0,9,9,1,0,1,0,2,20.2,3.3
268,268,159,Chris Paul,36-075,G,2021-07-20*,PHO,@,MIL,L,26,1,39,11,19,.579,10,17,.588,1,2,.500,3,4,.750,1,1,2,5,1,0,3,5,17.2,4.3
269,269,160,Michael Porter,22-339,F,2021-06-03*,DEN,@,POR,W,26,1,34,10,19,.526,4,7,.571,6,12,.500,0,0,,0,5,5,4,1,0,1,3,19.8,8.6
270,270,Rk,Player,Age,Pos,Date*,Tm,,Opp,,PTS,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM
271,271,161,Michael Porter,22-337,F,2021-06-01*,DEN,,POR,W,26,1,48,10,13,.769,7,8,.875,3,5,.600,3,3,1.000,1,11,12,3,2,0,3,5,24.0,5.9
272,272,162,Derrick Rose,32-234,G,2021-05-26*,NYK,,ATL,W,26,0,39,9,21,.429,7,18,.389,2,3,.667,6,6,1.000,1,3,4,4,0,0,1,0,18.3,7.2
273,273,163,Russell Westbrook,32-198,G,2021-05-29*,WAS,,PHI,L,26,1,34,9,18,.500,6,12,.500,3,6,.500,5,5,1.000,3,9,12,10,0,0,3,4,24.2,12.5
274,274,164,Giannis Antetokounmpo,26-201,F-G,2021-06-25*,MIL,,ATL,W,25,1,29,11,18,.611,11,15,.733,0,3,.000,3,4,.750,3,6,9,6,2,0,1,0,25.5,15.8
275,275,165,Will Barton,30-158,G,2021-06-13*,DEN,,PHO,L,25,1,39,9,21,.429,6,12,.500,3,9,.333,4,4,1.000,0,5,5,2,2,0,2,3,15.6,0.3
276,276,166,Bradley Beal,27-335,G,2021-05-29*,WAS,,PHI,L,25,1,37,10,26,.385,9,18,.500,1,8,.125,4,6,.667,1,5,6,3,1,1,1,0,15.0,1.1
277,277,167,Devin Booker,24-239,G,2021-06-26*,PHO,@,LAC,W,25,1,38,8,22,.364,8,17,.471,0,5,.000,9,11,.818,0,2,2,0,2,0,5,6,7.2,-2.1
278,278,168,Goran Dragić,35-016,G,2021-05-22*,MIA,@,MIL,L,25,0,35,10,17,.588,5,7,.714,5,10,.500,0,0,,1,1,2,1,1,0,4,3,14.6,6.7
279,279,169,Joe Harris,29-261,G,2021-05-25*,BRK,,BOS,W,25,1,29,9,14,.643,2,4,.500,7,10,.700,0,0,,1,3,4,3,2,1,1,3,23.0,18.5
280,280,170,Jrue Holiday,31-019,G,2021-07-01*,MIL,,ATL,W,25,1,42,9,20,.450,6,12,.500,3,8,.375,4,5,.800,2,4,6,13,1,0,2,1,24.5,5.6
281,281,171,Kyrie Irving,29-074,G,2021-06-05*,BRK,,MIL,W,25,1,45,11,26,.423,8,15,.533,3,11,.273,0,0,,2,3,5,8,1,1,1,1,19.4,3.1
282,282,172,Kyrie Irving,29-070,G,2021-06-01*,BRK,,BOS,W,25,1,38,9,14,.643,6,7,.857,3,7,.429,4,6,.667,0,3,3,3,0,1,0,1,21.3,5.9
283,283,173,Reggie Jackson,31-049,G,2021-06-04*,LAC,@,DAL,W,25,1,38,8,15,.533,5,8,.625,3,7,.429,6,8,.750,0,9,9,4,1,0,4,5,17.4,4.4
284,284,174,LeBron James,36-151,F-G,2021-05-30*,LAL,,PHO,L,25,1,38,10,21,.476,9,14,.643,1,7,.143,4,7,.571,2,10,12,6,1,0,6,1,16.3,3.3
285,285,175,Brook Lopez,33-058,C,2021-05-29*,MIL,@,MIA,W,25,1,28,11,15,.733,11,15,.733,0,0,,3,3,1.000,3,5,8,0,0,2,2,3,20.7,8.1
286,286,176,Khris Middleton,29-307,F-G,2021-06-15*,MIL,@,BRK,L,25,1,45,8,22,.364,5,12,.417,3,10,.300,6,7,.857,0,4,4,5,1,1,3,4,14.2,-2.1
287,287,177,Donovan Mitchell,24-261,G,2021-05-26*,UTA,,MEM,W,25,1,26,8,19,.421,3,9,.333,5,10,.500,4,4,1.000,0,2,2,0,1,0,2,2,13.7,-0.7
288,288,178,Marcus Morris,31-287,F,2021-06-16*,LAC,@,UTA,W,25,1,40,10,16,.625,7,12,.583,3,4,.750,2,4,.500,1,1,2,2,1,1,0,2,20.3,5.8
289,289,179,Michael Porter,22-327,F,2021-05-22*,DEN,,POR,L,25,1,37,12,21,.571,11,11,1.000,1,10,.100,0,0,,2,7,9,0,0,2,2,2,17.2,-1.9
290,290,180,Trae Young,22-268,G,2021-06-14*,ATL,,PHI,W,25,1,40,8,26,.308,5,15,.333,3,11,.273,6,8,.750,1,3,4,18,1,0,2,3,21.2,10.4
291,291,Rk,Player,Age,Pos,Date*,Tm,,Opp,,PTS,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,GmSc,BPM
292,292,181,Deandre Ayton,22-334,C,2021-06-22*,PHO,,LAC,W,24,1,35,12,15,.800,12,15,.800,0,0,,0,1,.000,3,11,14,1,1,1,1,3,23.5,10.1
293,293,182,Jordan Clarkson,28-358,G,2021-05-31*,UTA,@,MEM,W,24,0,22,8,18,.444,4,9,.444,4,9,.444,4,4,1.000,0,6,6,0,0,0,3,1,13.0,-0.9
294,294,183,Jordan Clarkson,28-360,G,2021-06-02*,UTA,,MEM,W,24,0,31,9,20,.450,6,8,.750,3,12,.250,3,3,1.000,0,1,1,3,2,0,4,2,13.2,-2.5
295,295,184,Jordan Clarkson,29-003,G,2021-06-10*,UTA,,LAC,W,24,0,27,9,15,.600,3,6,.500,6,9,.667,0,0,,0,1,1,2,0,0,2,2,16.0,10.3
296,296,185,Seth Curry,30-299,G,2021-06-18*,PHI,@,ATL,W,24,1,39,8,14,.571,2,5,.400,6,9,.667,2,2,1.000,0,3,3,2,1,1,1,3,19.2,12.3
297,297,186,Kevin Durant,32-245,F-G,2021-06-01*,BRK,,BOS,W,24,1,37,8,16,.500,4,10,.400,4,6,.667,4,4,1.000,0,4,4,3,0,3,2,3,18.2,4.4
